MsgID,MsgBody,roberta_sentiment
'ky2ilv7',question use wifi w roku firestick house relation tmo gateway wall chimneys might degrade wifi signal laptop plug gateway directly run ooklas speed test speed see,Negative
'ky2kof1',happen week house ct say connect nothing load even speed test continuously fail connect happen usually around every morning continue afternoon havent issue year start happen,Negative
'ky2ohnp',base internet unreliable person person place place unless option really use primary internet connection,Negative
'ky2uqid',dont perfect connection excellent bar graph meaningless didnt share radio metrics app idea signal good secondly want accurate speed test test ethernet wifi lastly dont indicate home modem cant help,Negative
'ky353yb',know happen keyboard warriors talk ass,Negative
'ky37y0l',already make mistake unfortunately,Negative
'ky381x5',bad well look like im sell,Negative
'ky3nvor',hasnt actually drop today pixels despite change anything even weirder imo,Negative
'ky3nvor',hasnt actually drop today pixels despite change anything even weirder imo,Negative
'ky3r7gf',bad,Negative
'ky3r7gf',bad,Negative
'ky3uo3a',cant believe youd pay speed either far watch youtube thats big loss really isnt much worth watch anyway go ahead bite bullet get cable internet wont regret,Negative
'ky3uo3a',cant believe youd pay speed either far watch youtube thats big loss really isnt much worth watch anyway go ahead bite bullet get cable internet wont regret ps id check iphone wifi help diagnose problem still crappy use phone tower problem crappy wifi likely extremely crowd tower also see speed get morning help figure whats go,Negative
'ky3yekb',go years issue suddenly september become trash never even peak time peak even stream show excellent cell metrics external antenna trash complain everyone months even fcc tmobile say congestion much congestion phone time push tell anyone near get tmhi good luck,Negative
'ky3yekb',go years issue suddenly september become trash never even peak time peak even stream show excellent cell metrics external antenna trash complain everyone months even fcc tmobile say congestion much congestion phone time push tell anyone near get tmhi good luck,Negative
'ky455oa',move want us say rude,Negative
'ky455oa',move want us say rude,Negative
'ky4n9tt',app computer could cause common one killer ethernet driver dell computers see kill bandwidth make sure special wifi software computer random tip,Negative
'ky4oe2x',glad switch read nonsense post spew everywhere get tiresome,Negative
'ky53zn2',drop mine get different provider somehow advertise reliable internet doesnt work perfectly like providers internet cant unreliable youre pay switch,Negative
'ky5r7as',pick server new orleans la test connection alabama find time able get worst result impress anyone especially someone play ton helldivers wow starfield,Negative
'ky5yecw',must congestion reason op get bad speed could faulty wifi antennas unit,Negative
'ky6700c',mine get bar im middle country download get shit mess bad,Negative
'ky673c4',stupid statement bullshit lie,Negative
'ky67zha',photo screen instead screen shoot definitely something wrong,Negative
'ky6hvhh',think customer retention department dial stop abuse forums nonsense topics,Negative
'ky6lxau',rude move along,Negative
'ky6ojso',youre option comcast drop single digit every night stay pay btw lose connection couple time hour whenever contact customer service read script make waste three hours day tech come tell oh yeah end might work work couple months crap,Negative
'ky6yppy',im try someone elses unit didnt want get stick pay later,Negative
'ky6z7n9',like may switch worse reset didnt fix area eclipse users also might tower cause congestion,Negative
'ky7adj0',like theyre trouble sell,Negative
'ky7bncj',piss coffee maker morning dont like question vote like human,Negative
'ky7q6il',wrong account type small biz think,Negative
'ky7q7yz',try didnt work,Negative
'ky80tq6',pro band lock legit headache crappy hardware,Negative
'ky87n1q',term years lmao keep try make case already say full shit get prove wrong proof another claim karenfailed,Negative
'ky9aed2',trump,Negative
'ky9bb7m',op comment didnt take anything trump except fact conspiracy theories almost always link far right,Negative
'ky9bmtm',logic make sense actually super dangerous climb tower radiation highest probably tenfold,Negative
'ky9brbv',think crazy crazy need politics weird much stuff link trump nothing trump,Negative
'ky9garj',fact antenna window arcadyan ft away shelf pretty much invalidate test move mine ft away window speed drop dramatically,Negative
'ky9gkni',idiotic conspiracies include cell signal general maga tend go hand hand mean nutballs even link covid many caliber people score utterly ridiculous conspiracy theories im say maga prone believe idiotic conspiracy theories believe idiotic conspiracies tend maga trump sell bibles wackadoodle carry bible attack cell tower stretch mean,Negative
'ky9i2ag',mention trump name like rabid dog,Negative
'ky9jk85',wait come people go lose mind horror think g literally stand generation little higher thats tiny consider microwave go visible light come range around thats thousand time higher maximum microwave higher bright note expect another huge leap even greater latency time faster operate ghz terahertz thz wavelengths also speed time faster biggest problem ive internet latency awful live far tower,Negative
'ky9l0po',dude go hard time piece shit immediately assume otherwise,Negative
'ky9mvmc',work company fix stuff like constantly get consumers call threaten us complain equipment shit idea literally time problem incompetence straight vandalism guy call lose shit work home outage gon na get fire couldnt fathom take hours us fix mile stretch fiber shoot multiple place dont even get start electrical outages take equipment wild people like exist cost company individuals millions year real reason,Negative
'ky9p3md',website trash,Negative
'ky9qw8e',try hard people like shit,Negative
'ky9r3n5',nice live click shitty article,Negative
'ky9skbl',device absolute crap get samsung band tmobile device support follow band nr dod lte band work outside house basically work lte house,Negative
'ky9uz6a',bad except load ping number downstream upstream regular ping around load ones suck ass pretty much mean anytime use bandwidth latency jump sky high one downsides tmhi fiber business latency stay matter load unload big deal users make harder play type online game web browse get slow,Negative
'kya2iga',totally fine pay suspension fee dont want wait line old provider awful fact maybe pay month two use still worth dont know else work around,Negative
'kyadusd',rebate scam fall do multiple people get sorry honor,Negative
'kybqfxc',know get downvoted fuck truth,Negative
'kyc45mn',didnt mean get attack article fine bite mislead ignore troll,Negative
'kyd0kj3',service third equation two part spectrum capacity backhaul capacity spectrum capacity congestion specific sector band thay sector cause poor download speed many users sector tower backhaul capacity refer fiber line thats connect tower wan depend location typically awesome signal slower data service internet gateway normal data service phone capacity issue capacity challenge areas capacity challenge cellular carriers usually isnt viable land lord will rent space new site state local government wont allow big build sit,Negative
'kyd11xk',deadlines call null sectors dont start get better miles away band reach far reliably without high gain directional parabolic yagi antenna even rsrp rsrq tandem sinr make virtually unusable,Negative
'kyd1qbi',people reception strength quality signal interference noise ratio better youre closer populate areas null one tower cover sector neighbor site equally thay neighbor sit null sectors cover adjacent tower etc sectors cant overlap much end low dominance phone doesnt know tower connect also close average within miles tower put vertical beamforming tower signal quality actually deteriorate closer get within mile area,Negative
'kyd1xvn',lucky thay distance gnat fart cause packet loss fact sit perfect spot,Negative
'kydvgn2',happen recently also customer service technical support awful make switch routers twice fix anything upload speed switch cox next day,Negative
'kye2fix',multiple pixels issue multiple issue routers band steer crap feature split configuration network separate pixels would connect zero issue really think band steer feature use gateways multipel msps wifi design worst,Negative
'kye6m4t',iamromulan make work fail test please help issue,Negative
'kye7xkh',happen roku ghz roku couldnt see channel,Negative
