MsgID,MsgBody,roberta_sentiment
'kwxtimo',band steer band steer tend greatest put things like phone right next pod theres way change via app understand concern would say weak management sw end dual core mips iirc would recommend party router individual ssid capability,Neutral
'kwy7bs1',get dbm transmit dbm receive,Neutral
'kwyiayc',migrate keep price life legal term say lose get new offer quantum maybe quantum keep offer price life guarantee quantum stop offer lose migrate quantum term clear price life cover service keep offer plan also pod include price life free fee could add pod future able return happen install tech mention see memos possible charge pod,Neutral
'kwzc357',force switch cl fiber,Neutral
'kwzdw7b',locate,Neutral
'kwzugm2',might able keep calix ont switch quantum reason need switch smartnid want use wifi mesh pod area get upgrade,Neutral
'kwzwv50',dakota,Neutral
'kx06l6c',plan b yeah guess blame,Neutral
'kx0h2nt',wonder thing wait switch cl fiber quantum first speed drop enable cl fiber,Neutral
'kx0i7rb',technology require smartnid allow plan,Neutral
'kx0kthn',keep pay cl actively move,Neutral
'kx0xmb9',wow wonder price range roll,Neutral
'kx0yx26',https https,Neutral
'kx11121',futile assimilate,Neutral
'kx15tn7',track quantum come area south denver since lumen hq couple miles south pay gigabit service call talk rep tell area one last switch co exactly two block north county court local school admin build old junior high admin build surround educational fiber system instal years ago cant run new fiber reason maybe cl still around legacy customers faster speed better price point lose pfl q time well maybe least recently quantum start offer pfl,Neutral
'kx173mu',realize youre reply old post im certainly complain point secondly since originally post able get hook bond pair service come modem yeah life good months receive modem want take nearby lightning strike fry modem wah wah try order another tell longer available send finefor past years,Neutral
'kx1sqpg',yes redo network setup take less time spend try troubleshoot first place,Neutral
'kx1uqjw',fiber joke solid month new build line break install several appointments show get live fix think work fine month wait service tech show one come call tell tech line fix break mind home work garage tech ever show try call extremely rude professional buyer beware sure,Neutral
'kx20de0',receive email call cl greater seattle area hope im force switch also pay gig plan b yet maybe ill give get megs,Neutral
'kx21460',problem oregon vudu multiple call finally acknowledge centurylink customers problems since change fandango,Neutral
'kx2belh',like different outage denver day every night get new generic text alert fix days get response centurylink anyone recommendations reliable service,Neutral
'kx2g4mg',get quantum whatever hours outage people talk tell nothing work eta already activate cable modem service get back online even customer months stay far away,Neutral
'kx2gf6y',quantum fiber good long answer nooooooooo hours post outage eta people talk say work,Neutral
'kx2gmtb',usage number basically make switch cox use month quantum usage show use past days zero change devices usage,Neutral
'kx2gx9q',pod fine internet eta repair official outage post csrs say possible outage sign back cox currently run pod behind pfsense connect cox,Neutral
'kx2h0lk',quantum multi day outages info communication middle one,Neutral
'kx2h7il',look multi day outages communication quantum seriously sign unless get backup isp setup failover router,Neutral
'kx2mhf8',boat friend next door get migrate quantum months ago retain ont price still cl price life go touch anything,Neutral
'kx2pjyi',pod end issue,Neutral
'kx2uvbm',week switch clue happen eventually tell happen days back,Neutral
'kx3wuax',im sorry hear service interrupt feel free send us chat well look thank,Neutral
'kx48i45',keep pay cl account move automatically continue payment consent move read email bud,Neutral
'kx58dyw',depend use conduit bury mine pole house,Neutral
'kx5k8zh',come bury mine put conduit take forever come back bury though,Neutral
'kx5pikx',require,Neutral
'kx600vb',exactly physical setup,Neutral
'kx65aq4',deal issue spokane rental landscape crew break im go back comcast,Neutral
'kx6b2bm',service literally shut one day go ahead keep,Neutral
'kx7bzem',put transparent bridge mode use linksys router support vlan tag port configuration page call iptv routers otherwise ought work better smartnids router mode pod depend router well perform pod work work documentation quite scant make difficult get,Neutral
'kx7wnie',buy linksys routers hook one directly ont pay buck ship per ebay mesh routers,Neutral
'kx9n1le',cl move eastward never get message probably due wa state net neutrality rule ban could wrong may red state theres net neutrality law cl state red outside handful progressive state,Neutral
'kxa1z1o',rout table trouble contabos end fix,Neutral
'kxa4c07',company youll keep exist price do new brand new bill system make easier sell separate business shit go south fewer impact customers unlikely event bankruptcy,Neutral
'kxaac4k',impediment switch due physical fiber switch quantum either due new equipment head end enable software change exist equipment change people use old cl equipment market flip switch bunch folks use routers lose internet wan switch pppoe dhcp without warn,Neutral
'kxagglt',live appear telephone pole house bury street,Neutral
'kxc2wg0',also face challenge within community experience difficulties access modems interface make impossible set bridge mode ethernet connection unstable lead subscribe cancel offer provide discount six months session customer support learn instant internet refer service mean connections disable theres option upgrade bridge network setup ideal wifi mesh network smart home devices televisions comprehensive sonos sound system im search alternative cox come option really,Neutral
'kxcaf9t',like offer low bandwidth plan acceptable price randomly publicly increase speed plan get goodwill media unsuspecting customers couple months later quietly increase price plan effectively theyve upgrade higher speed tier without permission agreement process repeat shady af idea quantum fiber future get feed behavior comcast,Neutral
'kxcnft9',far theyve promise keep low price years might ready shop another provider treat well experience qf wasnt perfect since customer service promise everything nothing like election candidates repeatedly,Neutral
'kxdp5zr',pay yup internet really wish quantum fiber area drive past one depots go work everyday infuriate,Neutral
'kxfqzeg',add username without quote pppoeusername,Neutral
'kxfrmu0',fiber get rid dsl set bridge mode make sure disable vlan tag,Neutral
'kxfs9pd',question netgear wifi extender,Neutral
'kxfswxe',fiber get router like say change settings get connection,Neutral
'kxfzawn',double check model number device talk centurylink use dsl connections dont recall see reference also call exactly talk kind connections centurylink fiber common router modem spite centurylink insist call one could use standalone router may common early days fiber service replace transparent bridge mode need devices router function remove also bridge connection dsl line optical fiber ethernet home network include dsl gateways like necessary dsl well smart optical network terminals like use quantum fiber centurylink fiber service passive ont remove router get centurylink use netgear router place vlan tag pppoe settings properly configure,Neutral
'kxg19e7',mis type box basement know deal fiber line one line come outside plug back,Neutral
'kxgba8l',put transparent bridge mode pass data dsl modem ethernet switch longer pass anything wan ethernet port switch essentially turn since arent use dsl modem circuitry,Neutral
'kxghuxp',tag need enable port pppoe username password enter everything else nighthawk router work default settings,Neutral
'kxgi1ba',username need another previous state everything else believe night hawk show red light router connection,Neutral
'kxgr6v6',tag wan port vlan iptv might centurylink option select cl get ta make sure pppoe username password correct quantum dont one,Neutral
'kxgs31v',make sure ethernet cable ont connect wan port nighthawk use access point port didnt matter use router port definitely matter,Neutral
'kxh58kj',start tech support chat get pppoe information,Neutral
'kxh7yax',get password already username router settings get try one time tomorrow family home keep mess internet,Neutral
'kxhak7l',nighthawk vlan tag dont need bridge thursday vlan tag need,Neutral
'kxhalxj',normal internet connection add pppoe login credentials turn vlan,Neutral
'kxhasjy',connect ont,Neutral
'kxhmdoz',rule anything suggestion make sure router newest firmware factory reset change settings make sure everything want pppoe login sure reboot ont reboot router connect ethernet port ont wan port router,Neutral
'kxhmke2',sign quantum fiber website allow request certain number pod tech show leave many please without consent add account could try refuse pod dont act like tech drop exactly purchase advance subscribers even aware upsold mesh network hardware system additional potential subscription wifi log account web mobile app,Neutral
'kxhpg57',https https like,Neutral
'kxhpp7m',read fine print read mean pics help https https,Neutral
'kxhzj7v',gig connection terminal thing asus pro router click button help fty terminal model stay blink blue weeks use data dumper router take data spread thru home even blink blue correct errors,Neutral
'kxjtmqa',fiber line water proof central fl use conduit bury side house true coax burial replace put new previous side conduit,Neutral
'kxl1era',work day make change nighthawk router hopefully thing unplug plug cord nighthawk see work report back later even,Neutral
'kxl38lo',dont think ont leave old ont could plug ethernet directly unifi fiber cable go ethernet,Neutral
'kxl7spb',ont dsl gateway combo use one standalone router possible certainly optical network terminal since port optical fiber connection use standalone router would work either bridge mode use since disable router bridge mode turn dsl modem nothing fiber connection post sheer nonsense,Neutral
'kxl97f3',able get work transparent bridge mode unifi pppoe either vlan tag unifi box stay double nat shame simply put unifi box dmz zone port forward issue whatsoever,Neutral
'kxl98op',recently switch centurylink fiber quantum fiber last week modem use unify dream machine put modem transparent mode tag vlan unify dhcp mode minutes get public ip address issue,Neutral
'kxla4h8',switch cl quantum quantum doesnt pppoe turn vlan still play also issue enable would leave well,Neutral
'kxlcwyn',correct make mistake old router still unplug take away old ont use connect directly unifi network model number unknown unfortunately update post thank help,Neutral
'kxldofi',suggestion,Neutral
'kxlec2k',interest definitely didnt wait long understand correctly need set transparent mode leave default vlan tag set unifi dhcp get public ip currently get wan ip https ont address https thats use pppoe log centurylink supply ppp address,Neutral
'kxlegng',comment comment im guess issue might im still try log use pppoe ppp credentials ont ill try suggest report back,Neutral
'kxlepyy',fiber use ppoe use ipoe use dhcp hand public ip address,Neutral
'kxleywy',try report back update initial post solution work,Neutral
'kxljcsj',would suggest disable vlan tag set bridge mode unfi equipment take care others say dont use pppoe anymore also solid white light smartnid take start work correctly light turn white edit oh wait still centurylink account yes still use pppoe,Neutral
'kxluisa',denver transition quantum january couple loose end nothing online reps could handle suggest maybe go back draw board replace fiber control box thing recommend nid four pod,Neutral
'kxlxr23',plug cord net gear nighthawk internet light stay red light turn white everything connect internet,Neutral
'kxlyzob',sure right port,Neutral
'kxlz4ko',port,Neutral
'kxlzapn',chat,Neutral
'kxm3ymt',see get attention youre interest,Neutral
'kxm40i1',youre interest ill see see get attention,Neutral
'kxm6z3f',im still old centurylink fiber account backend use new quantum ont wonder thats issue need experiment suggestions people share first,Neutral
'kxmm1nx',repair account,Neutral
'kxmn06n',issue pnw resolve replace crappy router video good summary guide help replace https,Neutral
'kxmnfgg',contact corporate security regard squatters property stanwood wa,Neutral
'kxmpbt7',offer still apply look switch well,Neutral
'kxmpeeg',ask pm interest,Neutral
'kxn52hy',possible different something sure easy remember try udmp pfsense box cant route fast want validate gigabit wan work instantly without issue dhcp give address,Neutral
'kxna2hk',try customeradvocacy actually competent forget chat phone regular century link drop multiple time day modem finally crusty old installer bring us fix get different compatible modem,Neutral
'kxnawtd',customeradvocacy thank,Neutral
'kxngwz6',could try put ont up avr see maybe issue electrical kind long shoot youve never really anything funny happen equipment maybe worth try youre desperate,Neutral
'kxp19xi',similar situation south denver run thread solutions upload speed connection actually work also atrocious btw recently instal use modem give us,Neutral
'kxpi5bh',help voice mail,Neutral
'kxpzgpo',open box area service since saturday thing rain snow probably rodents,Neutral
'kxqtsv9',quantum fiber,Neutral
'kxqupkx',would use fiber option,Neutral
'kxr2vgj',equipment,Neutral
'kxr3d2y',hehe april fool,Neutral
'kxraby7',say sike right centurylink,Neutral
'kxrnct1',never get rat speed live centurylink third xfinity cost exclude temporary discount,Neutral
'kxrndo7',link care time resources switch better isp,Neutral
'kxs5lva',fix stuff convenience convenience,Neutral
'kxs86qb',get pay speed also denver area,Neutral
'kxsfu4c',believe centurylink provision single line dsl service,Neutral
'kxsg3vh',test verify speed test,Neutral
'kxstbf4',quantum fiber start call saturday even check least ocala area wide outage clear schedule tech come check,Neutral
'kxt906j',port nice redirect webservers need open port theyre go block port well,Neutral
'kxtapgi',end answer thank ill summarize work update original post cast anyone else problem short form set bridge mode turn vlan tag ont set right bridge mode selection turn vlan tag unifi still work also enable pppoe log use centurylink credentials unifi take minutes see wan ip address unifi resolve double nat issue minor thing notice longer log ui via wifi default address https never connect connect laptop directly via ethernet work fine hope help,Neutral
'kxthokl',work thats normal able access smartnid ui unless directly connect also know lumen also able access need firmware update youll need manually would suggest look see update doesnt happen often https https also need talk tech support issue reboot router mode see run diagnostics oh also settings want use slow tunnel tunnel dhcp disable prefix prefix length border router mask mtu pppoe ttl,Neutral
'kxtm3aj',usually result ghz ghz network use ssid reconfigure pod give network different name try alternatively use device ghz connectivity appliance like older laptop perform configuration,Neutral
'kxtuzv8',short live message appear originate ip orbi router,Neutral
'kxua7ob',step log router set easy find vary make model change dns servers device question sorry lack specifics,Neutral
'kxunjqy',pod broadcast network simultaneously continuously smart home devices,Neutral
'kxunqxi',completely understandable manufacturer would want limit devices connections since better longer distance wifi pod first router type devices ive encounter dont give clear way split network network one previous routers give option least,Neutral
'kxuo17l',range cost iot devices dont need performance bandwidth require manufacturers use least expensive wifi components,Neutral
'kxup03v',dont disagree cheap hardware though never problem routers give option split network apart two ssids seem settings lock isnt even option,Neutral
'kxupgam',isnt issue devices support modern standards support network optional support standard issue devices arent get steady connection require,Neutral
'kxupizp',mesh network need support wireless standard wifi standard specifically addendum support band steer roam may equipment either mesh network conform mesh standard,Neutral
'kxupu64',way im look solution get pod work devices discuss older devices cheap part never issue previously,Neutral
'kxuq3ze',pod cheap inferior product inexpensive kit pod buck similar spec products plume price believe quantum offer lease moment hardware hold wifi products youll research determine products allow split ssid believe outdated model manage wifi phase check netgears orbi lineup new wifi system https https,Neutral
'kxur7cu',ill keep mind anyways id like figure solution setup currently door lock also expensive hardware im toss come explore solutions community call manufacturers manufacture cheap hardware,Neutral
'kxuy4js',sorry issue youre experience please send us chat look assist thank,Neutral
'kxuy6h4',sorry hear youre experience issue voicemail please send us chat look assist thank,Neutral
'kxuyc9d',point dont see real need relatively small network around active devices one time may hold unless see issue sonos devices suddenly start work better unifi something,Neutral
'kxuzjyc',sorry hear youre experience bill concern please send us chat look assist thank,Neutral
'kxv7gac',understand lock directly connect wifi ultraloq bridge need connect wifi,Neutral
'kxvgall',incorrect lock connect directly wifi,Neutral
'kxvgdl5',help understand model curious,Neutral
'kxvglho',quantum instal yesterday work speed comcast switch get full download speed,Neutral
'kxvgxjf',later ideally im look way lock pod communicate devices via frequency,Neutral
'kxvhbgk',luck,Neutral
'kxvilg0',switch quantum yesterday xfinity get xfinity im get quantum issue op think defend service,Neutral
'kxvkj96',hell see mbps use gigabit ethernet,Neutral
'kxvmkwj',signal drop speed distance connection give switch connection get pod drop speed modem,Neutral
'kxvnin6',youre say correct sorry,Neutral
'kxvrixi',recently full week without service due ont channel park new development area reunion ridge commerce city co daily call ask resolution wife call construction manager come move us different channel problem solve neighbor though additional three days track rouge ont since xfinity drop internet connection use ubiquiti dream machine pro allow automatic failover fiber go auto migrate internet traffic xfinity connection,Neutral
'kxw1w4c',unplug old router change name password old ones new router give couple minutes plus iot devices connect instantly new router,Neutral
'kxwlb50',interference im personally upload issue limit throughput orlando wire wireless different end routers include pod boost speed call modem speed test max upload throughput devices drop youve guess support run modem speed test see nothing wrong test seem artificially boost network sure whats cause theres another person area exact problem personally believe relate ive two local infrastructure give manipulate situation time dl work fine always max throughput central office qos thats fine want clarity,Neutral
'kxwngyv',install everyday routinely see year old phone see symmetrical multiple occasion ramp period refer optimization usually complete first minutes hour half see instance take longer technician set wifi network use app,Neutral
'kxwnrje',recommendations routers fomo mesh systems dont feel like spend lol,Neutral
'kxwodql',remove cl router plug archer one need configure vlan tag wan port likely centurylink set vlan iptv,Neutral
'kxwoxcl',installer set even could get around phone like um yeah isnt go work im ditch cable fiber go back van leave come back bunch time well hours keep retry eventually show quantum app internal speed get wifi get better later today leave yesterday morning hours still get sub suck insist instal wall kitchen even though entire server rack drive work vpn tell need hard line insist pod would provide ethernet port hardline total lie even get couple hundred mbps could live sub pod location get around ethernet,Neutral
'kxxyicp',see ont basement,Neutral
'kxxytao',power issue house get surge protector power strip,Neutral
'kxxzv05',check ask anyways,Neutral
'kxxzxwl',chat,Neutral
'kxycxim',west des moines get full external speedtests,Neutral
'kxyf2hj',yet up provide battery backup actively filter power,Neutral
'kxyjupv',work home remotely hours chat customer service agents tell technician need come house mark high priority request however give appointment april days today work home lose job dont internet long please help,Neutral
'kxymtvw',much try right,Neutral
'kxynivc',go month see scrounge ya black square ugly solid,Neutral
'kxyoyg4',box modem area use phone line box light connect modem box,Neutral
'kxyp2s6',broadband service phone light power light steady ethernet light flash,Neutral
'kxypcbl',reason ask issue multiple time would first two light would hear click sometimes light would come technician time get one tell phone fix sure set may able help know exactly tell,Neutral
'kxytjty',denver issue denver im get connection wire pod,Neutral
'kxyy65j',okay ill try ill attempt leave transport bridge mode plug laptop yellow ethernet port may still talk,Neutral
'kxyycj2',could allow onts internal router run network us prefer use routers need disable internal router avoid,Neutral
'kxz17vi',look dozens post complain lose speed pod distance look post say get mesh system get advertise speed finally,Neutral
'kxz1nkm',unix epoch time might mean modem reboot thats show connect get ntp time wouldnt worry,Neutral
'kxz1psn',thank,Neutral
'kxz4aam',often sporadic look signal level say start happen sound like signal might get range like issue fiber somewhere,Neutral
'kxzi91y',account click dispute bill option get rid fee,Neutral
'kxzqis9',get login credentials cl dont already one port ont work plug router port setup new router vlan wan port login ont use pppoe standard creds get cl bob uncle since cl involve could aunt,Neutral
'kxzsnb0',equipment,Neutral
'kxzszz5',modem replace,Neutral
'ky0gnco',absolutely correct answer awful compare,Neutral
'ky0jt7s',landlord let know ask permission state seal permanent isp use rent give permission mileage may vary good luck,Neutral
'ky0jzyj',cant get ok landlord yes agent would likely know isnt look youd like pm interest,Neutral
'ky0l7d8',well switch alternate dns use vpn service would nice us isp would refrain log spy interfere thats youre see kind attack absolutely everything connection unfortunately vpn service become cost business us like mullvad vpn many good choices,Neutral
'ky0nx7o',troll,Neutral
'ky0o515',game two hours without happen sometimes get disconnect every ten minutes vary notice tend happen afternoon morning though odd,Neutral
'ky0o9kg',basic centurylink modem actually replace twice,Neutral
'ky0om4n',call something security modems settings,Neutral
'ky0q0w8',guess area ont play well local olt maybe theres difference calix adtran hardware sure,Neutral
'ky0qyve',believe repair suppose replace legacy equipment new smartnid wifi pod maybe call centurylink back ask repair job correctly,Neutral
'ky0x372',let router take care tag curious im see issue let smartnid tag,Neutral
'ky0zh2g',power smartnid disconnect laptop give try doesnt work may still hold ip lease usually hours quantum unplug laptop go bed connect router morning long past hopefully solve,Neutral
'ky16cgm',deployment last year new pfp go establish cabinets street years sure route separate olts id assume area calix dont really know run modem level speed test quantum pre copper indirectly boost speed look like nothing wrong case reseat gpon plug theres gbps miles setup seem work fine friend smartnid throughput issue plan issue drive insane seem like olt qos issue conflict hardware use deploy calix ont units street axon support https https,Neutral
'ky19iwj',wish could trade indoor calix gigapoint confirm theory hardware conflict axon push full upload throughput call modem speed test pre copper reseat gpon plug theres flow go upload side decide intermittently slow call another hardware speed test though qf app thing support check network indirectly fix minutes slow support claim nothing wrong see max throughput though sw confirm max throughput devices bottleneck shortly annoy issue sure axon ont firmware bug conflict specific olt since people issue im one orlando area experience gpon side hardware someone else post exact issue prob similar hardware stack co olt xgs seem work fine miles road close friend ive test make sure nothing funky go,Neutral
'ky19k3g',lose internet mention modem seem normal light flash orbis light pink century link modem log show follow entries time rate change entry result reboot modem cause drop pm system rate change pm system rate change pm system rate change pm system rate change,Neutral
'ky1rl5g',windows open command prompt type ipconfig release laptop connect smartnid disconnect cable remove bind linux ifconfig presume ethernet connection,Neutral
'ky1vtis',send chat,Neutral
'ky21df5',apc,Neutral
'ky2rz2d',youre test wirelessly test hardwired smart nid even first wire pod get closer gig wireless speed guarantee,Neutral
'ky2spo1',stand directly first pod phone physically touch pod wire shouldnt drop millimeter distance,Neutral
'ky2syg9',vs wifi,Neutral
'ky2uhb0',router pod pod pc wireless talk pod see dozens people say get close setup,Neutral
'ky2uu03',never guarantee doesnt matter youre right close pod,Neutral
'ky2vjm6',wire first pod feet second pod wire router wire pc never get pc,Neutral
'ky2voi2',replace pod mesh router system see tons review consistently carry max speed,Neutral
'ky2vwlu',website link believe hype market want call,Neutral
'ky2wgjs',issue setup routeront wire first pod feet second pod wire router wire pc never get pc,Neutral
'ky2yqg7',site link say possible get throughput gbps close ap however even directly touch first pod wire never get,Neutral
'ky2zxrj',similar experience hear take pod days optimize rather wait place nid transparent bridge mode hook router im get wifi stand right next router house bout,Neutral
'ky30cvb',plug xfinity router back test wifi speed stand xfinity router get wifi stand first wire quantum pod get multiple test let try whats issue,Neutral
'ky30ic1',plug xfinity router back test wifi speed stand xfinity router get wifi stand first wire quantum pod get multiple test seem strange,Neutral
'ky30nyg',plan plan think switch plan since im get max,Neutral
'ky30qfq',gig,Neutral
'ky38sx1',wireless connection wire except backhaul two pod also high end ap use xfinity give use quantum get max,Neutral
'ky3a01j',close often worse far keep phone least meter away pod try test might well test two three meter see sweet spot distance,Neutral
'ky3ft35',latest post might similar problem invert since dl go super low ive see look older cl fiber issue call speed test quantum app via check network run speed test modem directly essentially support check speed get high throughput theres something funky go back low end yeah prob congest network wireless bottleneck right next router upload theres bigger underlie issue since even wire speed get stronger network speed test engage think firmware bug ont certain olt deployments reseat gpon cord unit also fix briefly go back low throughput fairly quick seem issue either area dependent sure fiber split topology anything either doubt could completely different problem sure different end routers broadcast produce issue wire impact less often say modem side speed test pretty much jolt network overdrive everything end faster annoy ipoe session time reset back timeframe speed also increase expect throughput yeah side end wifi angle make sense normal scenarios though cant blame,Neutral
'ky3iace',pod separate ft one another plan terminal far pod go one hardwired course terminal kitty corner upstairs use pod notice mbs excessive packet loss series x wireless roughly ft away thru floor stream competitive game right away notice robotic audio tech savvy guy one build pcs look everything possible try buy router hardwired quick option hvac block area house end buy asus pro router amazon nothing butter smooth performance since bridge connection disable vlan tag nice thing router adaptive qos assign things nod like stream work home game priority device ask ect router ft away thru thick bamboo floor devices connect via happy,Neutral
'ky3lyys',clarity go terminal asus router ditch pod altogether,Neutral
'ky3mibs',always connect pod via ethernet able try first comment quick look original post see try,Neutral
'ky3mq24',go hold onto pod case emergency package always return later,Neutral
'ky3muey',havent try old router go back comcast quantum installer insist physically unplug must cause interference possibility provide higher download speed via wifi slower wire speed comcast xfinity wire ethernet xfinity router wifi quantum fiber wire ethernet modem wire ethernet pod today quantum wifi today case youre wonder switch xfinity charge us contract major outages entire days time well time month would never provide accommodation anyone complain even demand month free discount last week days quantum promise life fiber neighbor good uptime im super jazz fiber speed wire im disappoint wifi solution tout mesh system,Neutral
'ky3rfkp',salespeople someone know guy wear safety vest show put door hanger say quantum fiber would get would come soon around time streets get tag point underground utilities door hanger contact info contractor lumen inspector case mess something construction crew show week later bury line property,Neutral
'ky3ro5q',door hangers different nobody knock unless try get sales,Neutral
'ky3s4a0',say im wire pod pod wire ont shouldnt drop backhaul,Neutral
'ky41aw2',youre say youre test device wifi youre plug one pod test either way still wireless b still surprise ap xfinity could configure differently different channel different mimo setup different output power channel width huge one etc lot variation blame quantums speed id test wire see closer youd expect like least since unlike comcast providers really mean say whereas comcast much closer guarantee bandwidth even though dont say get full speed pod arent good previous ap need tune dont sure configurable reference pay gigabit plan far highest ive able push gigabit via gear know route least gigabit,Neutral
'ky45pfn',backhaul specific channel minimize speed drop distance shouldnt drop half speed first wire pod drop less next make sense ont mesh router network improve speed greatly crappy pod quantum provide,Neutral
'ky4hdnl',lot wifi standards device wifi access point need standards get speed routers handle faster speed many variables get slow speed need get speed test source point,Neutral
'ky4mrkz',shouldnt drop half speed first wire pod mean smart ass way wireless tech isnt simple isnt shouldnt drop clearly reason like sure channel channel wide lot interference environment whats inbetween others transmission power dont disagree good mesh setup would likely faster also solid wifi aps enterprise like would perform better settings arent configurable wireless backhaul specific channel also mesh setups actually use channel,Neutral
'ky4z9pr',seem like go test different setups tomorrow find better conclusion talk tech email right,Neutral
'ky4zv1g',razer peripheral manufacturers figure wireless tech years ago wireless mouse keyboards faster wire ones yet internet company cant keep half speed distance devices specifically design seem like cope like sure channel channel wide lot interference environment whats inbetween others transmission power dont already know base pod quantum provide comment im ask people know hopefully techs know also mesh setups actually use channel backhaul yes quantum advertise afaik backhaul mesh router systems work,Neutral
'ky5g2nx',look youd like pm interest,Neutral
'ky5p9d9',highway robbery red pill blue choose,Neutral
'ky5pmvn',connector angle polish connector,Neutral
'ky5vvri',negotiate doesnt hurt xfinity offer maybe quantum price match,Neutral
'ky6a2dh',im sorry hear youre experience appointment interval concern please send us chat look assist thank,Neutral
'ky6d9hn',youre right idea get downvoted op really need check wire connection first run speed test wifi reliable pod mesh access point hes speak vary speed overhead boot different ones channel change pod could support smart switch device best connection could op experience end wire speedtest,Neutral
'ky6ff1y',cl customer take ethernet exist ont plug unifi router do quantum service intention use equipment,Neutral
'ky6hcki',pay xfinity year ago switch quantum fiber brainer,Neutral
'ky6otrx',try get service start century link months schedule many appointments continuously cancel century link today tech right street community come get internet hook,Neutral
'ky6pw76',aware keyboards mice take absolutely bandwidth compare expect wifi right cope lol also know talk faster latency bandwidth right wireless faster lower latency theyre transfer gigabit lmao internet company cant keep half speed distance devices specifically design world would even get half speed clearly dont know bandwidth wireless megabits point im convince clue troll dont already know base pod quantum provide comment im try set realistic expectations performance wireless network arent will least test wire connection cant say arent deliver speed promise advertise speed deliver house wifi speed also may able adjust settings part mention arent attribute give wifi component settings many case adjust least somewhat,Neutral
'ky6z4uo',plan astound third option suspiciously low price lock months hear good things either,Neutral
'ky78ukz',couple weeks ago castle rock leave exist ont place keep use router tech come happy burden pod new smart nid turn pppoe router extent change really didnt need send someone quantum support people phone dont seem please run equipment able look router probably doesnt make live easier tech say plan roll multigig end summer along newer smart nids may make switch new smart nid later year,Neutral
'ky7a9gb',long youre get proper speed might better legacy hardware seem issue olt locally upload end hover unless call qf speed test app support reseat gpon last around minutes unless upload sustain work stop im one area issue orlando metro areas around us work completely fine real idea whats go edit ipoe link reset throughput also work expect short duration doesnt matter time day hardware clearly deliver full speed give situation modem speed test gpon reseat might firmware issue config issue local toplology,Neutral
'ky7clzl',exactly experience im look actually clone ont calix dont really want tweak sign make swap send email,Neutral
'ky7dak3',call want get ahead transition schedule time last thing want force transition middle summer trip ive get outdoor adtran ont recall correctly indoor unit switch newer smart nid may easier ive get run cable make happen,Neutral
'ky7ioen',call say anything price look like go someone else price crazy,Neutral
'ky7jg1w',mine indoor thank help ill probably give ring get schedule also dont want switch randomly,Neutral
'ky7jwti',less people buy hopefully someone change,Neutral
'ky7l6kj',area transition youll switch smartnid sure keep ont though anything happen replace smartnid,Neutral
'ky7lt76',way find keep use internet lol,Neutral
